model,K,num_latent_factors,alg,scaling_value,sigma,preproc_time,comp_time,num_items_first_check,num_items_last_check,user_sample_ratio,num_sampled_users,blocked_mm_sample_time,fexipro_sample_time,fexipro_wins
nomad-Netflix-10-reg-0.05,1,10,SI,127,0.800000,0.037424,1.432344,56.365923,0.358532,0.000000,12800,0.000084,0.000028,True
nomad-Netflix-10-reg-0.05,1,10,SIR,127,0.800000,0.041444,1.203770,56.184030,1.066780,0.000000,12800,0.000061,0.000033,True
nomad-Netflix-10-reg-0.05,10,10,SI,127,0.800000,0.037157,1.538905,91.834713,1.221105,0.000000,12800,0.000066,0.000055,True
nomad-Netflix-10-reg-0.05,10,10,SIR,127,0.800000,0.041955,1.785409,91.499961,2.876317,0.000000,12800,0.000076,0.000064,True
nomad-Netflix-10-reg-0.05,5,10,SI,127,0.800000,0.036391,1.389773,79.306575,0.818192,0.000000,12800,0.000064,0.000045,True
nomad-Netflix-10-reg-0.05,5,10,SIR,127,0.800000,0.039374,1.541981,81.266541,2.037242,0.000000,12800,0.000068,0.000053,True
nomad-Netflix-10-reg-0.05,50,10,SI,127,0.800000,0.035562,2.472527,136.156545,4.048348,0.000000,12800,0.000097,0.000096,True
nomad-Netflix-10-reg-0.05,50,10,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,12800,0.000089,0.000114,False
nomad-Netflix-100-reg-0.05,1,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000272,0.000598,False
nomad-Netflix-100-reg-0.05,1,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000237,0.000754,False
nomad-Netflix-100-reg-0.05,10,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000269,0.000806,False
nomad-Netflix-100-reg-0.05,10,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000248,0.000985,False
nomad-Netflix-100-reg-0.05,5,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000271,0.000774,False
nomad-Netflix-100-reg-0.05,5,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000354,0.000917,False
nomad-Netflix-100-reg-0.05,50,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000270,0.001054,False
nomad-Netflix-100-reg-0.05,50,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000279,0.001316,False
nomad-Netflix-25-reg-0.05,1,25,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000151,0.000151,False
nomad-Netflix-25-reg-0.05,1,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000104,0.000174,False
nomad-Netflix-25-reg-0.05,10,25,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000096,0.000230,False
nomad-Netflix-25-reg-0.05,10,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000084,0.000263,False
nomad-Netflix-25-reg-0.05,5,25,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000092,0.000202,False
nomad-Netflix-25-reg-0.05,5,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000092,0.000221,False
nomad-Netflix-25-reg-0.05,50,25,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000127,0.000328,False
nomad-Netflix-25-reg-0.05,50,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000120,0.000370,False
nomad-Netflix-50-reg-0.05,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000107,0.000348,False
nomad-Netflix-50-reg-0.05,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000135,0.000346,False
nomad-Netflix-50-reg-0.05,10,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000116,0.000466,False
nomad-Netflix-50-reg-0.05,10,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000187,0.000501,False
nomad-Netflix-50-reg-0.05,5,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000109,0.000425,False
nomad-Netflix-50-reg-0.05,5,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000258,0.000424,False
nomad-Netflix-50-reg-0.05,50,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000210,0.000608,False
nomad-Netflix-50-reg-0.05,50,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000167,0.000686,False
nomad-R2-10-reg-0.001,1,10,SI,127,0.800000,0.168994,7.735067,28.503262,0.076771,0.000000,12800,0.000551,0.000053,True
nomad-R2-10-reg-0.001,1,10,SIR,127,0.800000,0.249452,7.901079,28.659845,0.493175,0.000000,12800,0.000546,0.000071,True
nomad-R2-10-reg-0.001,10,10,SI,127,0.800000,0.218295,8.400803,41.658948,0.468303,0.000000,12800,0.000566,0.000090,True
nomad-R2-10-reg-0.001,10,10,SIR,127,0.800000,0.245321,8.814108,41.778409,1.747208,0.000000,12800,0.000565,0.000124,True
nomad-R2-10-reg-0.001,5,10,SI,127,0.800000,0.214932,7.973698,36.202636,0.277938,0.000000,12800,0.000549,0.000074,True
nomad-R2-10-reg-0.001,5,10,SIR,127,0.800000,0.246572,8.222729,37.175228,1.147689,0.000000,12800,0.000541,0.000101,True
nomad-R2-10-reg-0.001,50,10,SI,127,0.800000,0.216610,10.038638,62.979190,1.786274,0.000000,12800,0.000622,0.000163,True
nomad-R2-10-reg-0.001,50,10,SIR,127,0.800000,0.243134,10.492535,60.729674,5.461016,0.000000,12800,0.000602,0.000218,True
nomad-R2-100-reg-0,1,100,SI,127,0.800000,3.643383,1.864752,2.379314,0.006976,0.000000,1280,0.001085,0.000372,True
nomad-R2-100-reg-0,1,100,SIR,127,0.800000,3.780602,2.071942,2.374807,0.029056,0.000000,1280,0.001143,0.000475,True
nomad-R2-100-reg-0,10,100,SI,127,0.800000,3.599590,2.411506,3.226571,0.051799,0.000000,1280,0.001331,0.000553,True
nomad-R2-100-reg-0,10,100,SIR,127,0.800000,3.824082,2.157252,3.269916,0.126839,0.000000,1280,0.000956,0.000729,True
nomad-R2-100-reg-0,5,100,SI,127,0.800000,3.652444,1.861919,2.843172,0.028930,0.000000,1280,0.000983,0.000472,True
nomad-R2-100-reg-0,5,100,SIR,127,0.800000,3.766694,1.679298,2.837122,0.080426,0.000000,1280,0.000723,0.000589,True
nomad-R2-100-reg-0,50,100,SI,127,0.800000,3.646264,2.651917,4.600023,0.203433,0.000000,1280,0.001209,0.000863,True
nomad-R2-100-reg-0,50,100,SIR,127,0.800000,3.828719,2.744746,4.326862,0.361168,0.000000,1280,0.001182,0.000963,True
nomad-R2-25-reg-0.001,1,25,SI,127,0.800000,0.373785,3.205629,17.621087,0.035310,0.000000,5120,0.000474,0.000152,True
nomad-R2-25-reg-0.001,1,25,SIR,127,0.800000,0.611061,3.554072,16.969095,0.303300,0.000000,5120,0.000463,0.000231,True
nomad-R2-25-reg-0.001,10,25,SI,127,0.800000,0.423174,3.668665,23.595593,0.217846,0.000000,5120,0.000500,0.000217,True
nomad-R2-25-reg-0.001,10,25,SIR,127,0.800000,0.431744,4.737774,23.850784,0.927619,0.000000,5120,0.000577,0.000348,True
nomad-R2-25-reg-0.001,5,25,SI,127,0.800000,0.376330,3.493878,21.159828,0.125089,0.000000,5120,0.000493,0.000189,True
nomad-R2-25-reg-0.001,5,25,SIR,127,0.800000,0.534357,3.985472,21.222007,0.650153,0.000000,5120,0.000475,0.000304,True
