model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time
pb-new-Netflix-50,1,17770,480189,50,50,0,24009450,5310671355,0.28754,1.10509,197.139,198.532
sigmod-deadline-Netflix-10,1,17770,480189,10,1,0,480189,494258351,0.046736,0.034385,4.6507,4.73182
sigmod-deadline-Netflix-10,1,17770,480189,10,10,0,4801890,786698071,0.066704,0.056103,7.48374,7.60654
sigmod-deadline-Netflix-10,1,17770,480189,10,5,0,2400945,681206786,0.056484,0.047049,6.29395,6.39748
sigmod-deadline-Netflix-10,1,17770,480189,10,50,0,24009450,1331490966,0.160236,0.107414,14.5983,14.8659
sigmod-deadline-Netflix-25,1,17770,480189,25,1,0,480189,527498300,0.135542,0.055602,9.15957,9.35071
sigmod-deadline-Netflix-25,1,17770,480189,25,10,0,4801890,903598032,0.113698,0.092565,14.9665,15.1727
sigmod-deadline-Netflix-25,1,17770,480189,25,5,0,2400945,777717100,0.15216,0.074868,12.3826,12.6097
sigmod-deadline-Netflix-25,1,17770,480189,25,50,0,24009450,1470847787,0.20864,0.171942,27.2648,27.6453
sigmod-deadline-Netflix-50,1,17770,480189,50,1,0,480189,493563242,0.227558,0.071828,15.7668,16.0662
sigmod-deadline-Netflix-50,1,17770,480189,50,10,0,4801890,797715366,0.192292,0.129133,27.7897,28.1111
sigmod-deadline-Netflix-50,1,17770,480189,50,5,0,2400945,685381606,0.179895,0.108973,24.0856,24.3745
sigmod-deadline-Netflix-50,1,17770,480189,50,50,0,24009450,1301257632,0.290441,0.247522,47.2609,47.7988
