model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time
nomad-Netflix-50-reg-0.5,1,17770,480189,50,5,0,2400945,2495174,0.127536,0.000389,0.123734,0.251659
nomad-Netflix-50-reg-0.5,1,17770,480189,50,50,0,24009450,24391892,0.236855,0.002373,1.12775,1.36698
nomad-R2-10-reg-0.001,1,136736,1823179,10,1,0,1823179,5904882242,0.20141,0.118441,62.7381,63.058
nomad-R2-10-reg-0.001,1,136736,1823179,10,10,0,18231790,9803322487,0.289431,0.207162,89.9013,90.3979
nomad-R2-10-reg-0.001,1,136736,1823179,10,5,0,9115895,8221619021,0.244727,0.158947,79.3768,79.7805
nomad-R2-10-reg-0.001,1,136736,1823179,10,50,0,91158950,14245755376,0.646118,0.323737,171.938,172.908
nomad-R2-100-reg-0,1,136736,1823179,100,1,0,1823179,5303417613,1.25069,0.428708,333.673,335.352
nomad-R2-100-reg-0,1,136736,1823179,100,10,0,18231790,6970140564,1.41083,0.548606,441.769,443.728
nomad-R2-100-reg-0,1,136736,1823179,100,5,0,9115895,6605210236,1.32729,0.50937,394.158,395.994
nomad-R2-100-reg-0,1,136736,1823179,100,50,0,91158950,9698052984,1.87428,0.828462,678.56,681.263
nomad-R2-100-reg-0.0000001,1,136736,1823179,100,1,0,1823179,5276978313,1.19165,0.40545,313.336,314.933
nomad-R2-100-reg-0.000001,1,136736,1823179,100,1,0,1823179,4933636719,1.24684,0.355064,291.523,293.125
nomad-R2-100-reg-0.00001,1,136736,1823179,100,1,0,1823179,4948051538,1.24314,0.361613,299.016,300.621
nomad-R2-100-reg-0.0001,1,136736,1823179,100,1,0,1823179,3922548337,2.07844,0.323166,237.748,240.15
nomad-R2-100-reg-0.001,1,136736,1823179,100,1,0,1823179,110012629,1.28256,0.010018,8.28132,9.5739
nomad-R2-100-reg-0.001,1,136736,1823179,100,10,0,18231790,265945744,1.02637,0.019207,16.7325,17.7781
nomad-R2-100-reg-0.001,1,136736,1823179,100,5,0,9115895,173209388,1.55653,0.014137,10.7738,12.3444
nomad-R2-100-reg-0.001,1,136736,1823179,100,50,0,91158950,965834520,2.02872,0.067673,56.932,59.0284
nomad-R2-100-reg-0.01,1,136736,1823179,100,1,0,1823179,97737699,0.916213,0.006969,6.35318,7.27636
nomad-R2-100-reg-0.01,1,136736,1823179,100,10,0,18231790,292146254,1.02322,0.020934,17.3027,18.3468
nomad-R2-100-reg-0.01,1,136736,1823179,100,5,0,9115895,188305986,1.54961,0.016022,14.7153,16.2809
nomad-R2-100-reg-0.01,1,136736,1823179,100,50,0,91158950,970179957,1.40236,0.067829,56.8081,58.2783
nomad-R2-100-reg-0.1,1,136736,1823179,100,1,0,1823179,37425684,1.29237,0.004599,2.98608,4.28305
nomad-R2-100-reg-0.1,1,136736,1823179,100,10,0,18231790,167894112,1.03235,0.012641,10.6395,11.6845
nomad-R2-100-reg-0.1,1,136736,1823179,100,5,0,9115895,96601258,1.5397,0.008789,6.2478,7.79629
nomad-R2-100-reg-0.1,1,136736,1823179,100,50,0,91158950,713379541,2.1018,0.052453,44.0859,46.2401
nomad-R2-100-reg-1,1,136736,1823179,100,1,0,1823179,362959504,1.47722,0.0287,20.8198,22.3257
nomad-R2-100-reg-1,1,136736,1823179,100,10,0,18231790,723928260,1.05691,0.060724,48.3018,49.4194
nomad-R2-100-reg-1,1,136736,1823179,100,5,0,9115895,527151943,1.55506,0.046714,35.0797,36.6815
nomad-R2-100-reg-1,1,136736,1823179,100,50,0,91158950,1554091040,1.42931,0.119351,100.214,101.763
nomad-R2-25-reg-0,1,136736,1823179,25,1,0,1823179,9356597392,0.410894,0.245983,140.312,140.969
nomad-R2-25-reg-0.0000001,1,136736,1823179,25,1,0,1823179,9559085717,0.407105,0.254468,145.57,146.232
nomad-R2-25-reg-0.000001,1,136736,1823179,25,1,0,1823179,9671839629,0.409859,0.237022,144.934,145.581
nomad-R2-25-reg-0.00001,1,136736,1823179,25,1,0,1823179,9193831682,0.402313,0.225075,139.616,140.243
nomad-R2-25-reg-0.0001,1,136736,1823179,25,1,0,1823179,9449045958,0.416022,0.248577,140.763,141.427
nomad-R2-25-reg-0.001,1,136736,1823179,25,1,0,1823179,10310384277,0.434034,0.270183,166.527,167.231
nomad-R2-25-reg-0.001,1,136736,1823179,25,10,0,18231790,14999322819,0.519745,0.368914,238.58,239.469
nomad-R2-25-reg-0.001,1,136736,1823179,25,5,0,9115895,12155735396,0.472338,0.340837,208.206,209.019
nomad-R2-25-reg-0.001,1,136736,1823179,25,50,0,91158950,19409808737,0.882155,0.551184,363.48,364.913
nomad-R2-25-reg-0.01,1,136736,1823179,25,1,0,1823179,3512555214,0.623078,0.09013,66.2814,66.9946
nomad-R2-25-reg-0.01,1,136736,1823179,25,10,0,18231790,6328295597,0.540485,0.159279,110.502,111.202
nomad-R2-25-reg-0.01,1,136736,1823179,25,5,0,9115895,4981556099,0.640917,0.131397,97.4218,98.1942
nomad-R2-25-reg-0.01,1,136736,1823179,25,50,0,91158950,11272089570,0.901572,0.303625,208.591,209.796
nomad-R2-25-reg-0.1,1,136736,1823179,25,1,0,1823179,21269829,0.455797,0.005129,0.644033,1.10496
nomad-R2-25-reg-0.1,1,136736,1823179,25,10,0,18231790,53235936,0.517542,0.009669,1.66359,2.1908
nomad-R2-25-reg-0.1,1,136736,1823179,25,5,0,9115895,30266360,0.528362,0.006617,1.04916,1.58414
nomad-R2-25-reg-0.1,1,136736,1823179,25,50,0,91158950,251677728,1.25147,0.030189,7.44164,8.7233
nomad-R2-25-reg-1,1,136736,1823179,25,1,0,1823179,9282551,0.269993,0.002808,0.412176,0.684977
nomad-R2-25-reg-1,1,136736,1823179,25,10,0,18231790,40262596,0.364442,0.00639,1.20598,1.57681
nomad-R2-25-reg-1,1,136736,1823179,25,5,0,9115895,22425483,0.517078,0.004717,0.888148,1.40994
nomad-R2-25-reg-1,1,136736,1823179,25,50,0,91158950,145368193,1.10512,0.027167,4.96017,6.09245
nomad-R2-50-reg-0,1,136736,1823179,50,1,0,1823179,9244422898,0.692918,0.386778,274.316,275.395
nomad-R2-50-reg-0.0000001,1,136736,1823179,50,1,0,1823179,8942037677,0.699896,0.393524,271.95,273.043
nomad-R2-50-reg-0.000001,1,136736,1823179,50,1,0,1823179,9307864678,0.693346,0.384872,276.186,277.264
nomad-R2-50-reg-0.000001,1,136736,1823179,50,10,0,18231790,12296206768,0.790859,0.524662,374.113,375.428
nomad-R2-50-reg-0.000001,1,136736,1823179,50,5,0,9115895,10865892553,0.737866,0.469433,341.951,343.158
nomad-R2-50-reg-0.000001,1,136736,1823179,50,50,0,91158950,15173437948,1.19286,0.789051,573.025,575.007
nomad-R2-50-reg-0.00001,1,136736,1823179,50,1,0,1823179,9012144182,0.700553,0.367232,259.24,260.308
nomad-R2-50-reg-0.0001,1,136736,1823179,50,1,0,1823179,7569595888,0.882847,0.307133,224.965,226.155
nomad-R2-50-reg-0.001,1,136736,1823179,50,1,0,1823179,7635830730,0.709912,0.284778,219.651,220.646
nomad-R2-50-reg-0.001,1,136736,1823179,50,10,0,18231790,9894943237,0.820656,0.394663,306.672,307.887
nomad-R2-50-reg-0.001,1,136736,1823179,50,5,0,9115895,8586306416,0.758678,0.347989,263.399,264.505
nomad-R2-50-reg-0.001,1,136736,1823179,50,50,0,91158950,13882690285,1.24123,0.634903,470.822,472.698
nomad-R2-50-reg-0.01,1,136736,1823179,50,1,0,1823179,2687244552,0.98987,0.089419,83.4641,84.5434
nomad-R2-50-reg-0.01,1,136736,1823179,50,10,0,18231790,4174783724,0.850344,0.180821,137.981,139.012
nomad-R2-50-reg-0.01,1,136736,1823179,50,5,0,9115895,3012458823,1.17557,0.136604,114.742,116.054
nomad-R2-50-reg-0.01,1,136736,1823179,50,50,0,91158950,7502260367,1.25474,0.361621,268.767,270.383
nomad-R2-50-reg-0.1,1,136736,1823179,50,1,0,1823179,17300709,0.675694,0.004103,0.89317,1.57297
nomad-R2-50-reg-0.1,1,136736,1823179,50,10,0,18231790,62797427,0.9339,0.010839,2.7397,3.68444
nomad-R2-50-reg-0.1,1,136736,1823179,50,5,0,9115895,30896057,0.840646,0.006387,1.55181,2.39885
nomad-R2-50-reg-0.1,1,136736,1823179,50,50,0,91158950,263355949,1.54943,0.032392,10.6872,12.269
nomad-R2-50-reg-1,1,136736,1823179,50,1,0,1823179,16049083,0.788571,0.005551,0.980052,1.77417
nomad-R2-50-reg-1,1,136736,1823179,50,10,0,18231790,47607226,0.556354,0.008476,1.953,2.51783
nomad-R2-50-reg-1,1,136736,1823179,50,5,0,9115895,26244452,0.852417,0.006636,1.40257,2.26162
nomad-R2-50-reg-1,1,136736,1823179,50,50,0,91158950,168854450,1.3933,0.021186,7.46785,8.88233
